IP,Blocked_Time,Source,VT_Malicious,VT_Suspicious,AbuseIPDB_Score,AbuseIPDB_Reports,GreyNoise_Noise,AlienVault_Pulses,Country,ISP,Lat,Lon
103.234.62.74,2026-07-14T10:00:26.638679,auto,N/A,N/A,100,1362,NO,N/A,Hong Kong,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,22.3358,114.149
47.254.173.90,2026-07-14T10:00:26.638694,auto,N/A,N/A,100,663,NO,N/A,Germany,Alibaba Cloud LLC,50.1138,8.6521
1.234.20.61,2026-07-14T10:00:26.638702,auto,10,3,N/A,N/A,NO,N/A,South Korea,SK Broadband Co Ltd,37.4909,127.0452
45.156.129.90,2026-07-14T10:00:26.638710,auto,4,2,N/A,N/A,NO,N/A,United States,"NSEC - Sistemas Informaticos, S.A.",41.8781,-87.6298
58.30.60.250,2026-07-14T10:00:26.638717,auto,11,4,N/A,N/A,NO,N/A,China,Beijing Gehua Catv Network CO,39.9042,116.407
1.0.164.165,2026-07-14T10:00:26.638723,auto,12,3,N/A,N/A,NO,N/A,Thailand,TOT Public Company Limited,7.9166,98.3494
101.126.145.214,2026-07-14T10:00:26.638729,auto,9,6,N/A,N/A,NO,N/A,China,"Beijing Volcano Engine Technology Co., Ltd.",39.9794,116.338
101.206.211.72,2026-07-14T10:00:26.638736,auto,17,4,N/A,N/A,NO,N/A,China,China Unicom Sichuan Province Network,30.5723,104.067
101.126.55.63,2026-07-14T10:00:26.638743,auto,10,5,N/A,N/A,NO,N/A,China,GHSX,39.9904,116.386
14.103.123.206,2026-07-14T10:00:26.638749,auto,10,4,N/A,N/A,NO,N/A,China,BITNET,39.9042,116.407
101.227.79.195,2026-07-14T10:00:26.638755,auto,12,2,N/A,N/A,NO,N/A,China,China Telecom (Group),31.2222,121.4581
103.25.47.94,2026-07-14T10:00:26.638761,auto,10,4,N/A,N/A,NO,N/A,India,Rainbow communications India Pvt Ltd,11.6602,78.1532
216.244.66.228,2026-07-14T10:00:26.638767,auto,4,2,N/A,N/A,NO,N/A,United States,Wowrack.com,47.4932,-122.294
89.39.121.98,2026-07-14T10:00:26.638773,auto,N/A,N/A,100,219,NO,N/A,Germany,Play2go International Limited,50.1169,8.6837
101.109.255.242,2026-07-14T10:00:26.638779,auto,7,6,100,140,NO,N/A,Thailand,TOT Public Company Limited,13.7101,100.4543
1.237.155.150,2026-07-14T10:00:26.638786,auto,7,4,N/A,N/A,NO,N/A,South Korea,SK Broadband Co Ltd,37.4331,127.1377
103.208.219.38,2026-07-14T10:00:26.638792,auto,N/A,N/A,100,1559,NO,N/A,Australia,Hostopia Australia Web Pty Ltd,-33.8883,151.208
101.13.6.86,2026-07-14T10:00:26.638798,auto,10,4,N/A,N/A,NO,N/A,Taiwan,"Taiwan Mobile Co., Ltd.",25.0237,121.552
211.221.2.119,2026-07-14T10:00:26.638804,auto,N/A,N/A,100,317,NO,N/A,South Korea,Korea Telecom,35.1513,129.1203
101.37.233.76,2026-07-14T10:00:26.638810,auto,4,2,N/A,N/A,NO,N/A,China,Hangzhou Alibaba Advertising Co,30.2943,120.1663
65.49.20.99,2026-07-14T10:00:26.638816,auto,N/A,N/A,100,2040,NO,N/A,United States,Hurricane Electric LLC,37.6951,-121.9
64.62.197.105,2026-07-14T10:00:26.638822,auto,N/A,N/A,100,1780,NO,N/A,United States,Hurricane Electric LLC,37.6951,-121.9
139.59.146.150,2026-07-14T10:00:26.638829,auto,9,3,100,1930,NO,N/A,Germany,DIGITALOCEAN,50.1169,8.6837
165.154.147.69,2026-07-14T10:00:26.638835,auto,N/A,N/A,100,4002,NO,N/A,Malaysia,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,3.1408,101.6852
101.36.111.155,2026-07-14T10:00:26.638842,auto,16,3,100,2125,NO,N/A,Hong Kong,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,22.3193,114.169
189.50.142.82,2026-07-14T10:00:26.638848,auto,N/A,N/A,100,4173,NO,N/A,Brazil,IFTNET Telecomunicacoes Ltda,-21.9582,-51.3181
1.20.163.134,2026-07-14T10:00:26.638854,auto,3,2,N/A,N/A,NO,N/A,Thailand,TOT Public Company Limited,13.0508,100.9367
35.241.174.71,2026-07-14T10:00:26.638860,auto,N/A,N/A,100,68,NO,N/A,Belgium,Google LLC,50.9009,4.4855
1.187.75.8,2026-07-14T10:00:26.638866,auto,2,3,16,2,NO,1,India,Vodafone Idea Ltd.,26.9136,75.7858
101.13.4.124,2026-07-14T10:00:26.638872,auto,10,6,N/A,N/A,NO,N/A,Taiwan,"Taiwan Mobile Co., Ltd.",25.0237,121.552
193.46.192.20,2026-07-14T10:00:26.638878,auto,N/A,N/A,100,1523,NO,N/A,Spain,Telecomunicaciones Publicas Andaluzas S.L.,37.3657,-5.9729
101.245.108.90,2026-07-14T10:00:26.638884,auto,7,2,N/A,N/A,NO,N/A,China,HWCSNET,26.6475,106.6301
45.148.10.157,2026-07-14T10:00:26.638890,auto,N/A,N/A,100,208531,NO,N/A,The Netherlands,Techoff SRV Limited,52.3716,4.8883
1.39.180.155,2026-07-14T10:00:26.638896,auto,N/A,N/A,3,1,NO,0,India,Vodafone Essar Limited,12.9753,77.591
1.20.172.91,2026-07-14T10:00:26.638902,auto,5,3,N/A,N/A,NO,N/A,Thailand,TOT Public Company Limited,13.0508,100.9367
195.184.76.178,2026-07-14T10:00:26.638908,auto,N/A,N/A,100,2344,NO,N/A,United States,Onyphe SAS,38.7135,-77.7953
101.36.124.127,2026-07-14T10:00:26.638914,auto,11,4,100,5450,NO,N/A,Hong Kong,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,22.3193,114.169
101.200.57.251,2026-07-14T10:00:26.638920,auto,N/A,N/A,N/A,N/A,NO,N/A,China,Hangzhou Alibaba Advertising Co,39.911,116.395
118.37.214.187,2026-07-14T10:00:26.638926,auto,16,3,N/A,N/A,NO,N/A,South Korea,Korea Telecom,37.626,126.7152
1.1.220.166,2026-07-14T10:00:26.638932,auto,10,8,N/A,N/A,NO,N/A,Thailand,TOT Public Company Limited,17.0644,104.6882
