IP,Blocked_Time,Source,VT_Malicious,VT_Suspicious,AbuseIPDB_Score,AbuseIPDB_Reports,GreyNoise_Noise,AlienVault_Pulses,Country,ISP,Lat,Lon
1.235.192.214,2026-07-13T00:33:26.279357,auto,12,4,N/A,N/A,NO,N/A,South Korea,SK Broadband Co Ltd,37.4803,127.0302
103.179.174.112,2026-07-13T00:33:26.279380,auto,14,3,N/A,N/A,NO,N/A,Vietnam,HUNASOFT,16.0314,108.224
101.126.26.93,2026-07-13T00:33:26.279389,auto,11,4,N/A,N/A,NO,N/A,China,GHSX,39.9904,116.386
101.126.54.95,2026-07-13T00:33:26.279396,auto,11,4,N/A,N/A,NO,N/A,China,GHSX,39.9904,116.386
118.37.214.187,2026-07-13T00:33:26.279403,auto,16,3,N/A,N/A,NO,N/A,South Korea,Korea Telecom,37.626,126.7152
101.201.63.56,2026-07-13T00:33:26.279409,auto,N/A,N/A,N/A,N/A,NO,N/A,China,Hangzhou Alibaba Advertising Co,39.911,116.395
101.126.89.0,2026-07-13T00:33:26.279416,auto,10,5,N/A,N/A,NO,N/A,China,"Beijing Volcano Engine Technology Co., Ltd.",39.9042,116.407
101.126.11.137,2026-07-13T00:33:26.279423,auto,11,4,N/A,N/A,NO,N/A,China,GHSX,39.9904,116.386
101.126.23.159,2026-07-13T00:33:26.279430,auto,13,5,N/A,N/A,NO,N/A,China,GHSX,39.9904,116.386
101.201.234.37,2026-07-13T00:33:26.279435,auto,N/A,N/A,N/A,N/A,NO,N/A,China,Hangzhou Alibaba Advertising Co,39.911,116.395
1.255.171.167,2026-07-13T00:33:26.279442,auto,10,2,N/A,N/A,NO,N/A,South Korea,SK Broadband Co Ltd,35.1784,128.5754
91.92.40.204,2026-07-13T00:33:26.279449,auto,14,4,N/A,N/A,NO,N/A,Bulgaria,BULLETGROUP,43.1753,27.9041
100.51.6.16,2026-07-13T00:33:26.279455,auto,7,4,N/A,N/A,NO,N/A,United States,"Amazon.com, Inc.",39.0438,-77.4874
176.53.159.198,2026-07-13T00:33:26.279462,auto,12,4,N/A,N/A,NO,N/A,Turkey,Hop Bilisim Teknolojileri Anonim Sirketi,41.0478,28.8119
1.20.163.134,2026-07-13T00:33:26.279469,auto,3,2,N/A,N/A,NO,N/A,Thailand,TOT Public Company Limited,13.0508,100.9367
159.89.196.91,2026-07-13T00:33:26.279475,auto,9,3,N/A,N/A,NO,N/A,Singapore,"DigitalOcean, LLC",1.32123,103.695
66.132.172.250,2026-07-13T00:33:26.279482,auto,9,2,N/A,N/A,NO,N/A,United States,"Censys, Inc.",42.2809,-83.7489
101.13.5.39,2026-07-13T00:33:26.279488,auto,12,4,N/A,N/A,NO,N/A,Taiwan,"Taiwan Mobile Co., Ltd.",25.0237,121.552
80.94.92.234,2026-07-13T00:33:26.279494,auto,14,3,N/A,N/A,NO,N/A,The Netherlands,Unmanaged LTD,52.3676,4.90414
1.220.198.126,2026-07-13T00:33:26.279500,auto,10,5,N/A,N/A,NO,N/A,South Korea,LG DACOM Corporation,37.727,127.1963
101.13.4.124,2026-07-13T00:33:26.279508,auto,10,6,N/A,N/A,NO,N/A,Taiwan,"Taiwan Mobile Co., Ltd.",25.0237,121.552
217.60.195.168,2026-07-13T00:33:26.279518,auto,7,2,N/A,N/A,NO,N/A,The Netherlands,Swissnet LLC,50.8933,6.05805
1.1.220.166,2026-07-13T00:33:26.279530,auto,10,8,N/A,N/A,NO,N/A,Thailand,TOT Public Company Limited,17.0644,104.6882
101.13.6.91,2026-07-13T00:33:26.279539,auto,13,3,N/A,N/A,NO,N/A,Taiwan,"Taiwan Mobile Co., Ltd.",25.0237,121.552
1.222.42.237,2026-07-13T00:33:26.279545,auto,10,4,N/A,N/A,NO,N/A,South Korea,LG DACOM Corporation,37.597,126.9156
1.250.67.114,2026-07-13T00:33:26.279550,auto,12,3,N/A,N/A,NO,N/A,South Korea,SK Broadband Co Ltd,35.8014,127.1076
101.126.89.35,2026-07-13T00:33:26.279556,auto,10,4,N/A,N/A,NO,N/A,China,"Beijing Volcano Engine Technology Co., Ltd.",39.9042,116.407
101.126.91.34,2026-07-13T00:33:26.279562,auto,12,3,N/A,N/A,NO,N/A,China,"Beijing Volcano Engine Technology Co., Ltd.",39.9042,116.407
1.194.233.49,2026-07-13T00:33:26.279569,auto,7,4,N/A,N/A,NO,N/A,China,China Telecom,31.8696,117.293
1.54.237.176,2026-07-13T00:33:26.279574,auto,N/A,N/A,N/A,N/A,NO,N/A,Vietnam,FPT Telecom Company,10.822,106.6257
101.126.145.214,2026-07-13T00:33:26.279580,auto,9,6,N/A,N/A,NO,N/A,China,"Beijing Volcano Engine Technology Co., Ltd.",39.9794,116.338
91.92.42.81,2026-07-13T00:33:26.279586,auto,5,4,N/A,N/A,NO,N/A,The Netherlands,LLC VASH KREDIT BANK,52.3676,4.90414
101.126.154.252,2026-07-13T00:33:26.279593,auto,17,4,N/A,N/A,NO,N/A,China,"Beijing Volcano Engine Technology Co., Ltd.",39.9794,116.338
1.20.174.210,2026-07-13T00:33:26.279600,auto,6,1,N/A,N/A,NO,N/A,Thailand,TOT Public Company Limited,13.0508,100.9367
