IP,Blocked_Time,Source,VT_Malicious,VT_Suspicious,AbuseIPDB_Score,AbuseIPDB_Reports,GreyNoise_Noise,AlienVault_Pulses,Country,ISP,Lat,Lon
1.39.174.18,2026-07-16T08:21:38.430177,auto,N/A,N/A,15,2,NO,1,India,Vodafone Essar Limited,12.9753,77.591
79.124.59.78,2026-07-16T08:21:38.430219,auto,N/A,N/A,100,16842,NO,N/A,Bulgaria,Tamatiya EOOD,42.6539,24.7548
101.126.91.34,2026-07-16T08:21:38.430237,auto,12,3,N/A,N/A,NO,N/A,China,"Beijing Volcano Engine Technology Co., Ltd.",39.9042,116.407
199.45.155.75,2026-07-16T08:21:38.430250,auto,N/A,N/A,100,1388,NO,N/A,Hong Kong,"Censys, Inc.",22.3193,114.169
1.39.174.20,2026-07-16T08:21:38.430259,auto,N/A,N/A,15,2,NO,N/A,India,Vodafone Essar Limited,12.9753,77.591
101.13.1.58,2026-07-16T08:21:38.430268,auto,12,3,N/A,N/A,NO,N/A,Taiwan,"Taiwan Mobile Co., Ltd.",25.0237,121.552
159.192.97.182,2026-07-16T08:21:38.430281,auto,2,2,100,64,NO,N/A,Thailand,National Telecom Public Company Limited,13.6687,100.579
45.82.76.121,2026-07-16T08:21:38.430291,auto,N/A,N/A,100,2950,NO,N/A,United Kingdom,Detai Prosperous Technologies Limited,51.5072,-0.127586
1.12.48.131,2026-07-16T08:21:38.430305,auto,10,3,N/A,N/A,NO,N/A,China,China Internet Network Information Center,23.1181,113.2539
1.38.28.100,2026-07-16T08:21:38.430317,auto,N/A,N/A,3,1,NO,0,India,Vodafone Essar Limited-Value Added Services,26.8373,80.9165
149.54.40.222,2026-07-16T08:21:38.430327,auto,N/A,N/A,100,1694,NO,N/A,Afghanistan,Government Communications Network,34.5329,69.1682
134.112.56.47,2026-07-16T08:21:38.430337,auto,N/A,N/A,100,3530,NO,N/A,Poland,Microsoft Corporation,52.23537,21.009485
85.217.149.44,2026-07-16T08:21:38.430345,auto,N/A,N/A,100,4105,NO,N/A,Canada,Modat B.V.,45.3161,-73.8736
117.200.92.113,2026-07-16T08:21:38.430355,auto,N/A,N/A,100,169,NO,N/A,India,BSNL Internet,17.3843,78.4583
