IP,Blocked_Time,Source,VT_Malicious,VT_Suspicious,AbuseIPDB_Score,AbuseIPDB_Reports,GreyNoise_Noise,AlienVault_Pulses,Country,ISP,Lat,Lon
101.126.54.23,2026-07-16T16:17:04.916618,auto,9,5,N/A,N/A,NO,N/A,China,GHSX,39.9904,116.386
139.59.173.98,2026-07-16T16:17:05.211154,auto,N/A,N/A,100,3429,NO,N/A,United Kingdom,DIGITALOCEAN,51.5177,-0.6215
1.20.174.210,2026-07-16T16:17:05.510977,auto,6,1,N/A,N/A,NO,N/A,Thailand,TOT Public Company Limited,13.0508,100.9367
111.229.137.241,2026-07-16T16:17:05.799669,auto,7,4,N/A,N/A,NO,N/A,China,Shenzhen Tencent Computer Systems Company Limited,31.2222,121.4581
195.140.214.22,2026-07-16T16:17:06.101794,auto,N/A,N/A,100,3940,NO,N/A,United Kingdom,Hydra Communications Ltd,51.5164,-0.093
62.89.29.174,2026-07-16T16:17:06.394870,auto,5,3,N/A,N/A,NO,N/A,Armenia,GNC-Alfa CJSC,40.1814,44.5102
118.26.111.63,2026-07-16T16:17:06.699082,auto,N/A,N/A,100,509,NO,N/A,Singapore,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,1.35208,103.82
185.223.235.33,2026-07-16T16:17:06.989326,auto,N/A,N/A,100,2065,NO,N/A,The Netherlands,Hydra Communications Ltd,52.3716,4.8883
1.164.166.102,2026-07-16T16:17:07.274619,auto,2,0,32,4,YES,0,Taiwan,"Chunghwa Telecom Co., Ltd.",25.053,121.5259
77.83.39.42,2026-07-16T16:17:07.557945,auto,N/A,N/A,100,3180,NO,N/A,The Netherlands,Kprohost LLC,52.3398,4.86996
101.108.220.159,2026-07-16T16:17:07.854998,auto,3,2,N/A,N/A,NO,N/A,Thailand,TOT Public Company Limited,13.8983,100.582
85.217.140.42,2026-07-16T16:17:08.162266,auto,12,4,N/A,N/A,NO,N/A,France,Modat B.V.,50.9853,2.1311
