IP,Blocked_Time,Source,VT_Malicious,VT_Suspicious,AbuseIPDB_Score,AbuseIPDB_Reports,GreyNoise_Noise,AlienVault_Pulses,Country,ISP,Lat,Lon
1.235.192.214,2026-07-13T01:33:26.299744,auto,12,4,N/A,N/A,NO,N/A,South Korea,SK Broadband Co Ltd,37.4803,127.0302
103.179.174.112,2026-07-13T01:33:26.299761,auto,14,3,N/A,N/A,NO,N/A,Vietnam,HUNASOFT,16.0314,108.224
101.126.26.93,2026-07-13T01:33:26.299768,auto,11,4,N/A,N/A,NO,N/A,China,GHSX,39.9904,116.386
101.126.54.95,2026-07-13T01:33:26.299774,auto,11,4,N/A,N/A,NO,N/A,China,GHSX,39.9904,116.386
118.37.214.187,2026-07-13T01:33:26.299780,auto,16,3,N/A,N/A,NO,N/A,South Korea,Korea Telecom,37.626,126.7152
101.201.63.56,2026-07-13T01:33:26.299786,auto,N/A,N/A,N/A,N/A,NO,N/A,China,Hangzhou Alibaba Advertising Co,39.911,116.395
101.126.89.0,2026-07-13T01:33:26.299793,auto,10,5,N/A,N/A,NO,N/A,China,"Beijing Volcano Engine Technology Co., Ltd.",39.9042,116.407
101.126.11.137,2026-07-13T01:33:26.299799,auto,11,4,N/A,N/A,NO,N/A,China,GHSX,39.9904,116.386
101.126.23.159,2026-07-13T01:33:26.299805,auto,13,5,N/A,N/A,NO,N/A,China,GHSX,39.9904,116.386
101.201.234.37,2026-07-13T01:33:26.299810,auto,N/A,N/A,N/A,N/A,NO,N/A,China,Hangzhou Alibaba Advertising Co,39.911,116.395
1.255.171.167,2026-07-13T01:33:26.299816,auto,10,2,N/A,N/A,NO,N/A,South Korea,SK Broadband Co Ltd,35.1784,128.5754
91.92.40.204,2026-07-13T01:33:26.299823,auto,14,4,N/A,N/A,NO,N/A,Bulgaria,BULLETGROUP,43.1753,27.9041
100.51.6.16,2026-07-13T01:33:26.299829,auto,7,4,N/A,N/A,NO,N/A,United States,"Amazon.com, Inc.",39.0438,-77.4874
176.53.159.198,2026-07-13T01:33:26.299835,auto,12,4,N/A,N/A,NO,N/A,Turkey,Hop Bilisim Teknolojileri Anonim Sirketi,41.0478,28.8119
1.20.163.134,2026-07-13T01:33:26.299861,auto,3,2,N/A,N/A,NO,N/A,Thailand,TOT Public Company Limited,13.0508,100.9367
159.89.196.91,2026-07-13T01:33:26.299888,auto,9,3,N/A,N/A,NO,N/A,Singapore,"DigitalOcean, LLC",1.32123,103.695
66.132.172.250,2026-07-13T01:33:26.299894,auto,9,2,N/A,N/A,NO,N/A,United States,"Censys, Inc.",42.2809,-83.7489
101.13.5.39,2026-07-13T01:33:26.299900,auto,12,4,N/A,N/A,NO,N/A,Taiwan,"Taiwan Mobile Co., Ltd.",25.0237,121.552
80.94.92.234,2026-07-13T01:33:26.299906,auto,14,3,N/A,N/A,NO,N/A,The Netherlands,Unmanaged LTD,52.3676,4.90414
1.220.198.126,2026-07-13T01:33:26.299932,auto,10,5,N/A,N/A,NO,N/A,South Korea,LG DACOM Corporation,37.727,127.1963
101.13.4.124,2026-07-13T01:33:26.299938,auto,10,6,N/A,N/A,NO,N/A,Taiwan,"Taiwan Mobile Co., Ltd.",25.0237,121.552
217.60.195.168,2026-07-13T01:33:26.299944,auto,7,2,N/A,N/A,NO,N/A,The Netherlands,Swissnet LLC,50.8933,6.05805
1.1.220.166,2026-07-13T01:33:26.299950,auto,10,8,N/A,N/A,NO,N/A,Thailand,TOT Public Company Limited,17.0644,104.6882
101.13.6.91,2026-07-13T01:33:26.299956,auto,13,3,N/A,N/A,NO,N/A,Taiwan,"Taiwan Mobile Co., Ltd.",25.0237,121.552
1.222.42.237,2026-07-13T01:33:26.299963,auto,10,4,N/A,N/A,NO,N/A,South Korea,LG DACOM Corporation,37.597,126.9156
1.250.67.114,2026-07-13T01:33:26.299968,auto,12,3,N/A,N/A,NO,N/A,South Korea,SK Broadband Co Ltd,35.8014,127.1076
101.126.89.35,2026-07-13T01:33:26.299989,auto,10,4,N/A,N/A,NO,N/A,China,"Beijing Volcano Engine Technology Co., Ltd.",39.9042,116.407
101.126.91.34,2026-07-13T01:33:26.299995,auto,12,3,N/A,N/A,NO,N/A,China,"Beijing Volcano Engine Technology Co., Ltd.",39.9042,116.407
1.194.233.49,2026-07-13T01:33:26.300016,auto,7,4,N/A,N/A,NO,N/A,China,China Telecom,31.8696,117.293
1.54.237.176,2026-07-13T01:33:26.300022,auto,N/A,N/A,N/A,N/A,NO,N/A,Vietnam,FPT Telecom Company,10.822,106.6257
101.126.145.214,2026-07-13T01:33:26.300028,auto,9,6,N/A,N/A,NO,N/A,China,"Beijing Volcano Engine Technology Co., Ltd.",39.9794,116.338
91.92.42.81,2026-07-13T01:33:26.300034,auto,5,4,N/A,N/A,NO,N/A,The Netherlands,LLC VASH KREDIT BANK,52.3676,4.90414
101.126.154.252,2026-07-13T01:33:26.300040,auto,17,4,N/A,N/A,NO,N/A,China,"Beijing Volcano Engine Technology Co., Ltd.",39.9794,116.338
1.20.174.210,2026-07-13T01:33:26.300061,auto,6,1,N/A,N/A,NO,N/A,Thailand,TOT Public Company Limited,13.0508,100.9367
101.13.4.120,2026-07-13T01:33:26.300087,auto,11,4,N/A,N/A,NO,N/A,Taiwan,"Taiwan Mobile Co., Ltd.",25.0237,121.552
1.238.106.229,2026-07-13T01:33:26.300093,auto,11,6,N/A,N/A,NO,N/A,South Korea,SK Broadband Co Ltd,37.2963,127.0506
101.13.5.33,2026-07-13T01:33:26.300098,auto,15,3,N/A,N/A,NO,N/A,Taiwan,"Taiwan Mobile Co., Ltd.",25.0237,121.552
204.76.203.79,2026-07-13T01:33:26.300104,auto,15,2,N/A,N/A,NO,N/A,The Netherlands,Pfcloud UG,50.8897,6.0563
101.126.14.37,2026-07-13T01:33:26.300110,auto,10,4,N/A,N/A,NO,N/A,China,GHSX,39.9904,116.386
101.206.211.72,2026-07-13T01:33:26.300129,auto,17,4,N/A,N/A,NO,N/A,China,China Unicom Sichuan Province Network,30.5723,104.067
101.126.18.203,2026-07-13T01:33:26.300136,auto,11,4,N/A,N/A,NO,N/A,China,GHSX,39.9904,116.386
69.5.169.171,2026-07-13T01:33:26.300141,auto,12,5,N/A,N/A,NO,N/A,Germany,Hydra Communications Ltd,50.1169,8.6837
45.148.10.240,2026-07-13T01:33:26.300147,auto,14,3,N/A,N/A,NO,N/A,The Netherlands,Techoff SRV Limited,52.3716,4.8883
