IP,Blocked_Time,Source,VT_Malicious,VT_Suspicious,AbuseIPDB_Score,AbuseIPDB_Reports,GreyNoise_Noise,AlienVault_Pulses,Country,ISP,Lat,Lon
1.235.192.214,2026-07-13T03:33:26.342509,auto,12,4,N/A,N/A,NO,N/A,South Korea,SK Broadband Co Ltd,37.4803,127.0302
1.95.44.44,2026-07-13T03:33:26.342531,auto,0,0,27,4,YES,N/A,China,DXTNET,26.6475,106.6301
103.179.174.112,2026-07-13T03:33:26.342541,auto,14,3,N/A,N/A,NO,N/A,Vietnam,HUNASOFT,16.0314,108.224
139.59.146.150,2026-07-13T03:33:26.342548,auto,9,3,100,1930,NO,N/A,Germany,DIGITALOCEAN,50.1169,8.6837
101.126.26.93,2026-07-13T03:33:26.342556,auto,11,4,N/A,N/A,NO,N/A,China,GHSX,39.9904,116.386
101.126.54.95,2026-07-13T03:33:26.342562,auto,11,4,N/A,N/A,NO,N/A,China,GHSX,39.9904,116.386
123.58.198.35,2026-07-13T03:33:26.342569,auto,N/A,N/A,100,2199,NO,N/A,Vietnam,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,10.822,106.6257
172.105.69.26,2026-07-13T03:33:26.342576,auto,N/A,N/A,100,607,NO,N/A,Germany,Akamai Technologies,50.1169,8.6837
118.37.214.187,2026-07-13T03:33:26.342584,auto,16,3,N/A,N/A,NO,N/A,South Korea,Korea Telecom,37.626,126.7152
101.201.63.56,2026-07-13T03:33:26.342591,auto,N/A,N/A,N/A,N/A,NO,N/A,China,Hangzhou Alibaba Advertising Co,39.911,116.395
185.223.235.33,2026-07-13T03:33:26.342597,auto,N/A,N/A,100,2065,NO,N/A,The Netherlands,Hydra Communications Ltd,52.3716,4.8883
101.126.89.0,2026-07-13T03:33:26.342605,auto,10,5,N/A,N/A,NO,N/A,China,"Beijing Volcano Engine Technology Co., Ltd.",39.9042,116.407
101.126.11.137,2026-07-13T03:33:26.342612,auto,11,4,N/A,N/A,NO,N/A,China,GHSX,39.9904,116.386
101.126.23.159,2026-07-13T03:33:26.342618,auto,13,5,N/A,N/A,NO,N/A,China,GHSX,39.9904,116.386
103.208.219.38,2026-07-13T03:33:26.342624,auto,N/A,N/A,100,1559,NO,N/A,Australia,Hostopia Australia Web Pty Ltd,-33.8883,151.208
101.201.234.37,2026-07-13T03:33:26.342631,auto,N/A,N/A,N/A,N/A,NO,N/A,China,Hangzhou Alibaba Advertising Co,39.911,116.395
1.255.171.167,2026-07-13T03:33:26.342637,auto,10,2,N/A,N/A,NO,N/A,South Korea,SK Broadband Co Ltd,35.1784,128.5754
91.92.40.204,2026-07-13T03:33:26.342644,auto,14,4,N/A,N/A,NO,N/A,Bulgaria,BULLETGROUP,43.1753,27.9041
100.51.6.16,2026-07-13T03:33:26.342650,auto,7,4,N/A,N/A,NO,N/A,United States,"Amazon.com, Inc.",39.0438,-77.4874
176.53.159.198,2026-07-13T03:33:26.342656,auto,12,4,N/A,N/A,NO,N/A,Turkey,Hop Bilisim Teknolojileri Anonim Sirketi,41.0478,28.8119
1.20.163.134,2026-07-13T03:33:26.342663,auto,3,2,N/A,N/A,NO,N/A,Thailand,TOT Public Company Limited,13.0508,100.9367
159.89.196.91,2026-07-13T03:33:26.342669,auto,9,3,N/A,N/A,NO,N/A,Singapore,"DigitalOcean, LLC",1.32123,103.695
66.132.172.250,2026-07-13T03:33:26.342676,auto,9,2,N/A,N/A,NO,N/A,United States,"Censys, Inc.",42.2809,-83.7489
62.60.130.219,2026-07-13T03:33:26.342682,auto,13,2,N/A,N/A,NO,N/A,Iran,Cipher Operations DOO Beograd - Novi Beograd,35.6824,51.4158
120.48.88.69,2026-07-13T03:33:26.342690,auto,5,3,N/A,N/A,NO,N/A,China,Baidu,39.911,116.395
101.13.5.39,2026-07-13T03:33:26.342696,auto,12,4,N/A,N/A,NO,N/A,Taiwan,"Taiwan Mobile Co., Ltd.",25.0237,121.552
80.94.92.234,2026-07-13T03:33:26.342702,auto,14,3,N/A,N/A,NO,N/A,The Netherlands,Unmanaged LTD,52.3676,4.90414
118.26.111.63,2026-07-13T03:33:26.342708,auto,N/A,N/A,100,509,NO,N/A,Singapore,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,1.35208,103.82
1.220.198.126,2026-07-13T03:33:26.342714,auto,10,5,N/A,N/A,NO,N/A,South Korea,LG DACOM Corporation,37.727,127.1963
58.22.255.28,2026-07-13T03:33:26.342721,auto,10,3,N/A,N/A,NO,N/A,China,CNCGroup CHINA169 FuJian province network,25.075,117.017
101.13.4.124,2026-07-13T03:33:26.342727,auto,10,6,N/A,N/A,NO,N/A,Taiwan,"Taiwan Mobile Co., Ltd.",25.0237,121.552
20.153.204.5,2026-07-13T03:33:26.342733,auto,N/A,N/A,100,4932,NO,N/A,Japan,Microsoft Corporation,35.68,139.77
170.238.136.42,2026-07-13T03:33:26.342740,auto,N/A,N/A,100,1194,NO,N/A,Brazil,Brasil Redes Comunicações LTDA - ME,-8.144,-34.9775
85.217.140.10,2026-07-13T03:33:26.342748,auto,N/A,N/A,100,6335,NO,N/A,France,Modat B.V.,50.9853,2.1311
217.60.195.168,2026-07-13T03:33:26.342755,auto,7,2,N/A,N/A,NO,N/A,The Netherlands,Swissnet LLC,50.8933,6.05805
115.56.238.174,2026-07-13T03:33:26.342761,auto,11,6,N/A,N/A,NO,N/A,China,CNC Group CHINA169 Henan Province Network,34.7472,113.625
1.1.220.166,2026-07-13T03:33:26.342768,auto,10,8,N/A,N/A,NO,N/A,Thailand,TOT Public Company Limited,17.0644,104.6882
54.145.20.113,2026-07-13T03:33:26.342775,auto,N/A,N/A,100,116,NO,N/A,United States,Amazon Technologies Inc.,39.0438,-77.4874
167.99.210.137,2026-07-13T03:33:26.342781,auto,N/A,N/A,100,881,NO,N/A,The Netherlands,"DigitalOcean, LLC",52.352,4.9392
101.13.6.91,2026-07-13T03:33:26.342787,auto,13,3,N/A,N/A,NO,N/A,Taiwan,"Taiwan Mobile Co., Ltd.",25.0237,121.552
1.222.42.237,2026-07-13T03:33:26.342794,auto,10,4,N/A,N/A,NO,N/A,South Korea,LG DACOM Corporation,37.597,126.9156
1.250.67.114,2026-07-13T03:33:26.342800,auto,12,3,N/A,N/A,NO,N/A,South Korea,SK Broadband Co Ltd,35.8014,127.1076
101.126.89.35,2026-07-13T03:33:26.342806,auto,10,4,N/A,N/A,NO,N/A,China,"Beijing Volcano Engine Technology Co., Ltd.",39.9042,116.407
101.126.91.34,2026-07-13T03:33:26.342812,auto,12,3,N/A,N/A,NO,N/A,China,"Beijing Volcano Engine Technology Co., Ltd.",39.9042,116.407
195.96.139.87,2026-07-13T03:33:26.342819,auto,N/A,N/A,100,206,NO,N/A,United Kingdom,Driftnet Ltd,53.8008,-1.54908
1.194.233.49,2026-07-13T03:33:26.342825,auto,7,4,N/A,N/A,NO,N/A,China,China Telecom,31.8696,117.293
18.119.209.50,2026-07-13T03:33:26.342831,auto,N/A,N/A,100,15997,NO,N/A,United States,"Amazon.com, Inc.",40.0992,-83.1141
1.54.237.176,2026-07-13T03:33:26.342837,auto,N/A,N/A,N/A,N/A,NO,N/A,Vietnam,FPT Telecom Company,10.822,106.6257
101.126.145.214,2026-07-13T03:33:26.342843,auto,9,6,N/A,N/A,NO,N/A,China,"Beijing Volcano Engine Technology Co., Ltd.",39.9794,116.338
91.92.42.81,2026-07-13T03:33:26.342849,auto,5,4,N/A,N/A,NO,N/A,The Netherlands,LLC VASH KREDIT BANK,52.3676,4.90414
