IP,Blocked_Time,Source,VT_Malicious,VT_Suspicious,AbuseIPDB_Score,AbuseIPDB_Reports,GreyNoise_Noise,AlienVault_Pulses,Country,ISP,Lat,Lon
1.235.192.214,2026-07-13T06:33:26.416184,auto,12,4,N/A,N/A,NO,N/A,South Korea,SK Broadband Co Ltd,37.4803,127.0302
1.95.44.44,2026-07-13T06:33:26.416200,auto,0,0,27,4,YES,N/A,China,DXTNET,26.6475,106.6301
103.179.174.112,2026-07-13T06:33:26.416208,auto,14,3,N/A,N/A,NO,N/A,Vietnam,HUNASOFT,16.0314,108.224
139.59.146.150,2026-07-13T06:33:26.416215,auto,9,3,100,1930,NO,N/A,Germany,DIGITALOCEAN,50.1169,8.6837
101.126.26.93,2026-07-13T06:33:26.416222,auto,11,4,N/A,N/A,NO,N/A,China,GHSX,39.9904,116.386
101.126.54.95,2026-07-13T06:33:26.416229,auto,11,4,N/A,N/A,NO,N/A,China,GHSX,39.9904,116.386
123.58.198.35,2026-07-13T06:33:26.416234,auto,N/A,N/A,100,2199,NO,N/A,Vietnam,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,10.822,106.6257
172.105.69.26,2026-07-13T06:33:26.416242,auto,N/A,N/A,100,607,NO,N/A,Germany,Akamai Technologies,50.1169,8.6837
118.37.214.187,2026-07-13T06:33:26.416249,auto,16,3,N/A,N/A,NO,N/A,South Korea,Korea Telecom,37.626,126.7152
101.201.63.56,2026-07-13T06:33:26.416255,auto,N/A,N/A,N/A,N/A,NO,N/A,China,Hangzhou Alibaba Advertising Co,39.911,116.395
185.223.235.33,2026-07-13T06:33:26.416261,auto,N/A,N/A,100,2065,NO,N/A,The Netherlands,Hydra Communications Ltd,52.3716,4.8883
101.126.89.0,2026-07-13T06:33:26.416268,auto,10,5,N/A,N/A,NO,N/A,China,"Beijing Volcano Engine Technology Co., Ltd.",39.9042,116.407
101.126.11.137,2026-07-13T06:33:26.416274,auto,11,4,N/A,N/A,NO,N/A,China,GHSX,39.9904,116.386
101.126.23.159,2026-07-13T06:33:26.416280,auto,13,5,N/A,N/A,NO,N/A,China,GHSX,39.9904,116.386
103.208.219.38,2026-07-13T06:33:26.416285,auto,N/A,N/A,100,1559,NO,N/A,Australia,Hostopia Australia Web Pty Ltd,-33.8883,151.208
101.201.234.37,2026-07-13T06:33:26.416292,auto,N/A,N/A,N/A,N/A,NO,N/A,China,Hangzhou Alibaba Advertising Co,39.911,116.395
1.255.171.167,2026-07-13T06:33:26.416298,auto,10,2,N/A,N/A,NO,N/A,South Korea,SK Broadband Co Ltd,35.1784,128.5754
91.92.40.204,2026-07-13T06:33:26.416304,auto,14,4,N/A,N/A,NO,N/A,Bulgaria,BULLETGROUP,43.1753,27.9041
100.51.6.16,2026-07-13T06:33:26.416310,auto,7,4,N/A,N/A,NO,N/A,United States,"Amazon.com, Inc.",39.0438,-77.4874
176.53.159.198,2026-07-13T06:33:26.416315,auto,12,4,N/A,N/A,NO,N/A,Turkey,Hop Bilisim Teknolojileri Anonim Sirketi,41.0478,28.8119
1.20.163.134,2026-07-13T06:33:26.416321,auto,3,2,N/A,N/A,NO,N/A,Thailand,TOT Public Company Limited,13.0508,100.9367
159.89.196.91,2026-07-13T06:33:26.416328,auto,9,3,N/A,N/A,NO,N/A,Singapore,"DigitalOcean, LLC",1.32123,103.695
66.132.172.250,2026-07-13T06:33:26.416333,auto,9,2,N/A,N/A,NO,N/A,United States,"Censys, Inc.",42.2809,-83.7489
62.60.130.219,2026-07-13T06:33:26.416340,auto,13,2,N/A,N/A,NO,N/A,Iran,Cipher Operations DOO Beograd - Novi Beograd,35.6824,51.4158
120.48.88.69,2026-07-13T06:33:26.416346,auto,5,3,N/A,N/A,NO,N/A,China,Baidu,39.911,116.395
101.13.5.39,2026-07-13T06:33:26.416352,auto,12,4,N/A,N/A,NO,N/A,Taiwan,"Taiwan Mobile Co., Ltd.",25.0237,121.552
80.94.92.234,2026-07-13T06:33:26.416358,auto,14,3,N/A,N/A,NO,N/A,The Netherlands,Unmanaged LTD,52.3676,4.90414
118.26.111.63,2026-07-13T06:33:26.416363,auto,N/A,N/A,100,509,NO,N/A,Singapore,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,1.35208,103.82
1.220.198.126,2026-07-13T06:33:26.416370,auto,10,5,N/A,N/A,NO,N/A,South Korea,LG DACOM Corporation,37.727,127.1963
58.22.255.28,2026-07-13T06:33:26.416376,auto,10,3,N/A,N/A,NO,N/A,China,CNCGroup CHINA169 FuJian province network,25.075,117.017
101.13.4.124,2026-07-13T06:33:26.416382,auto,10,6,N/A,N/A,NO,N/A,Taiwan,"Taiwan Mobile Co., Ltd.",25.0237,121.552
20.153.204.5,2026-07-13T06:33:26.416387,auto,N/A,N/A,100,4932,NO,N/A,Japan,Microsoft Corporation,35.68,139.77
170.238.136.42,2026-07-13T06:33:26.416393,auto,N/A,N/A,100,1194,NO,N/A,Brazil,Brasil Redes Comunicações LTDA - ME,-8.144,-34.9775
85.217.140.10,2026-07-13T06:33:26.416401,auto,N/A,N/A,100,6335,NO,N/A,France,Modat B.V.,50.9853,2.1311
217.60.195.168,2026-07-13T06:33:26.416407,auto,7,2,N/A,N/A,NO,N/A,The Netherlands,Swissnet LLC,50.8933,6.05805
115.56.238.174,2026-07-13T06:33:26.416413,auto,11,6,N/A,N/A,NO,N/A,China,CNC Group CHINA169 Henan Province Network,34.7472,113.625
1.1.220.166,2026-07-13T06:33:26.416419,auto,10,8,N/A,N/A,NO,N/A,Thailand,TOT Public Company Limited,17.0644,104.6882
54.145.20.113,2026-07-13T06:33:26.416426,auto,N/A,N/A,100,116,NO,N/A,United States,Amazon Technologies Inc.,39.0438,-77.4874
167.99.210.137,2026-07-13T06:33:26.416432,auto,N/A,N/A,100,881,NO,N/A,The Netherlands,"DigitalOcean, LLC",52.352,4.9392
101.13.6.91,2026-07-13T06:33:26.416438,auto,13,3,N/A,N/A,NO,N/A,Taiwan,"Taiwan Mobile Co., Ltd.",25.0237,121.552
1.222.42.237,2026-07-13T06:33:26.416444,auto,10,4,N/A,N/A,NO,N/A,South Korea,LG DACOM Corporation,37.597,126.9156
1.250.67.114,2026-07-13T06:33:26.416449,auto,12,3,N/A,N/A,NO,N/A,South Korea,SK Broadband Co Ltd,35.8014,127.1076
101.126.89.35,2026-07-13T06:33:26.416456,auto,10,4,N/A,N/A,NO,N/A,China,"Beijing Volcano Engine Technology Co., Ltd.",39.9042,116.407
101.126.91.34,2026-07-13T06:33:26.416462,auto,12,3,N/A,N/A,NO,N/A,China,"Beijing Volcano Engine Technology Co., Ltd.",39.9042,116.407
195.96.139.87,2026-07-13T06:33:26.416467,auto,N/A,N/A,100,206,NO,N/A,United Kingdom,Driftnet Ltd,53.8008,-1.54908
1.194.233.49,2026-07-13T06:33:26.416473,auto,7,4,N/A,N/A,NO,N/A,China,China Telecom,31.8696,117.293
18.119.209.50,2026-07-13T06:33:26.416479,auto,N/A,N/A,100,15997,NO,N/A,United States,"Amazon.com, Inc.",40.0992,-83.1141
1.54.237.176,2026-07-13T06:33:26.416485,auto,N/A,N/A,N/A,N/A,NO,N/A,Vietnam,FPT Telecom Company,10.822,106.6257
101.126.145.214,2026-07-13T06:33:26.416491,auto,9,6,N/A,N/A,NO,N/A,China,"Beijing Volcano Engine Technology Co., Ltd.",39.9794,116.338
91.92.42.81,2026-07-13T06:33:26.416497,auto,5,4,N/A,N/A,NO,N/A,The Netherlands,LLC VASH KREDIT BANK,52.3676,4.90414
101.126.154.252,2026-07-13T06:33:26.416503,auto,17,4,N/A,N/A,NO,N/A,China,"Beijing Volcano Engine Technology Co., Ltd.",39.9794,116.338
1.20.174.210,2026-07-13T06:33:26.416509,auto,6,1,N/A,N/A,NO,N/A,Thailand,TOT Public Company Limited,13.0508,100.9367
101.13.4.120,2026-07-13T06:33:26.416515,auto,11,4,N/A,N/A,NO,N/A,Taiwan,"Taiwan Mobile Co., Ltd.",25.0237,121.552
1.238.106.229,2026-07-13T06:33:26.416520,auto,11,6,N/A,N/A,NO,N/A,South Korea,SK Broadband Co Ltd,37.2963,127.0506
101.13.5.33,2026-07-13T06:33:26.416526,auto,15,3,N/A,N/A,NO,N/A,Taiwan,"Taiwan Mobile Co., Ltd.",25.0237,121.552
86.54.31.40,2026-07-13T06:33:26.416531,auto,N/A,N/A,100,4289,NO,N/A,The Netherlands,MISTRAL,52.3676,4.90414
101.126.55.179,2026-07-13T06:33:26.416537,auto,9,4,N/A,N/A,NO,N/A,China,GHSX,39.9904,116.386
178.178.222.61,2026-07-13T06:33:26.416542,auto,12,5,N/A,N/A,NO,N/A,Russia,PJSC MegaFon,55.7558,37.6173
162.217.100.201,2026-07-13T06:33:26.416548,auto,N/A,N/A,100,762,NO,N/A,United States,Internap Holding LLC,32.7767,-96.797
81.30.98.90,2026-07-13T06:33:26.416554,auto,N/A,N/A,100,10128,NO,N/A,Lithuania,KOI CLOUD SERVICES (Pty) Ltd,54.8985,23.9036
204.76.203.79,2026-07-13T06:33:26.416560,auto,15,2,N/A,N/A,NO,N/A,The Netherlands,Pfcloud UG,50.8897,6.0563
101.126.14.37,2026-07-13T06:33:26.416565,auto,10,4,N/A,N/A,NO,N/A,China,GHSX,39.9904,116.386
122.224.164.194,2026-07-13T06:33:26.416571,auto,9,5,N/A,N/A,NO,N/A,China,Chinanet,39.9042,116.407
102.54.246.130,2026-07-13T06:33:26.416576,auto,N/A,N/A,100,1022,NO,N/A,Morocco,Casa Marrakech 4G MarocTelecom,34.0072,-6.8407
203.21.120.126,2026-07-13T06:33:26.416583,auto,N/A,N/A,100,2206,NO,N/A,Mongolia,MCS Com Co Ltd,47.9235,106.915
101.206.211.72,2026-07-13T06:33:26.416589,auto,17,4,N/A,N/A,NO,N/A,China,China Unicom Sichuan Province Network,30.5723,104.067
101.126.18.203,2026-07-13T06:33:26.416595,auto,11,4,N/A,N/A,NO,N/A,China,GHSX,39.9904,116.386
69.5.169.171,2026-07-13T06:33:26.416600,auto,12,5,N/A,N/A,NO,N/A,Germany,Hydra Communications Ltd,50.1169,8.6837
146.190.79.166,2026-07-13T06:33:26.416606,auto,N/A,N/A,100,102,NO,N/A,United States,"DigitalOcean, LLC",40.7964,-74.0203
85.11.167.7,2026-07-13T06:33:26.416612,auto,N/A,N/A,100,13022,NO,N/A,Bulgaria,LLC VASH KREDIT BANK,42.6826,23.3223
92.118.39.62,2026-07-13T06:33:26.416624,auto,N/A,N/A,100,35608,NO,N/A,United States,Unmanaged LTD,32.7797,-96.8022
45.148.10.240,2026-07-13T06:33:26.416630,auto,14,3,N/A,N/A,NO,N/A,The Netherlands,Techoff SRV Limited,52.3716,4.8883
103.165.227.178,2026-07-13T06:33:26.416636,auto,N/A,N/A,100,821,NO,N/A,Indonesia,PT iForte Global Internet,-6.1898,106.8415
101.201.67.225,2026-07-13T06:33:26.416642,auto,N/A,N/A,N/A,N/A,NO,N/A,China,Hangzhou Alibaba Advertising Co,39.911,116.395
1.20.190.206,2026-07-13T06:33:26.416648,auto,1,2,42,6,NO,1,Thailand,TOT Public Company Limited,14.3517,100.577
101.13.4.119,2026-07-13T06:33:26.416655,auto,10,4,N/A,N/A,NO,N/A,Taiwan,"Taiwan Mobile Co., Ltd.",25.0237,121.552
204.76.203.78,2026-07-13T06:33:26.416661,auto,16,2,N/A,N/A,NO,N/A,The Netherlands,Pfcloud UG,50.8897,6.0563
91.151.95.146,2026-07-13T06:33:26.416666,auto,N/A,N/A,100,1902,NO,N/A,Turkey,Hosting Dunyam Bilisim Teknolojileri Ticaret Limited Sirketi,41.0082,28.9784
1.65.136.185,2026-07-13T06:33:26.416673,auto,6,4,N/A,N/A,NO,N/A,Hong Kong,PCCW IMS Limited,22.2985,114.251
89.46.33.143,2026-07-13T06:33:26.416679,auto,6,1,N/A,N/A,NO,N/A,Kazakhstan,"LLP ""Kompaniya Hoster.KZ""",51.1625,71.3668
1.12.48.131,2026-07-13T06:33:26.416685,auto,10,3,N/A,N/A,NO,N/A,China,China Internet Network Information Center,23.1181,113.2539
101.13.2.182,2026-07-13T06:33:26.416691,auto,10,4,N/A,N/A,NO,N/A,Taiwan,"Taiwan Mobile Co., Ltd.",25.0237,121.552
45.148.10.157,2026-07-13T06:33:26.416696,auto,N/A,N/A,100,208531,NO,N/A,The Netherlands,Techoff SRV Limited,52.3716,4.8883
134.209.241.3,2026-07-13T06:33:26.416702,auto,N/A,N/A,100,875,NO,N/A,Germany,"DigitalOcean, LLC",50.1169,8.6837
101.13.5.195,2026-07-13T06:33:26.416708,auto,11,4,N/A,N/A,NO,N/A,Taiwan,"Taiwan Mobile Co., Ltd.",25.0237,121.552
157.245.69.40,2026-07-13T06:33:26.416714,auto,N/A,N/A,100,65,NO,N/A,The Netherlands,"DigitalOcean, LLC",52.352,4.9392
101.201.153.106,2026-07-13T06:33:26.416720,auto,N/A,N/A,N/A,N/A,NO,N/A,China,Hangzhou Alibaba Advertising Co,39.911,116.395
13.86.116.180,2026-07-13T06:33:26.416725,auto,N/A,N/A,100,1617,NO,N/A,United States,Microsoft Corporation,41.5908,-93.6208
103.60.242.169,2026-07-13T06:33:26.416732,auto,N/A,N/A,100,2142,NO,N/A,Vietnam,Mega Technology Company Limited,21.0358,105.787
199.45.155.75,2026-07-13T06:33:26.416738,auto,N/A,N/A,100,1388,NO,N/A,Hong Kong,"Censys, Inc.",22.3193,114.169
101.126.4.215,2026-07-13T06:33:26.416743,auto,11,4,N/A,N/A,NO,N/A,China,GHSX,39.9904,116.386
1.20.140.252,2026-07-13T06:33:26.416748,auto,12,4,N/A,N/A,NO,N/A,Thailand,TOT Public Company Limited,17.6256,100.094
101.126.30.240,2026-07-13T06:33:26.416754,auto,10,5,N/A,N/A,NO,N/A,China,GHSX,39.9904,116.386
1.15.227.58,2026-07-13T06:33:26.416760,auto,9,2,N/A,N/A,NO,N/A,China,Tencent Cloud Computing (Beijing) Co. Ltd.,30.9523,117.8164
1.0.164.165,2026-07-13T06:33:26.416766,auto,12,3,N/A,N/A,NO,N/A,Thailand,TOT Public Company Limited,7.9166,98.3494
1.20.172.233,2026-07-13T06:33:26.416772,auto,N/A,N/A,N/A,N/A,NO,N/A,Thailand,TOT Public Company Limited,13.0508,100.9367
1.234.75.81,2026-07-13T06:33:26.416785,auto,8,6,N/A,N/A,NO,N/A,South Korea,SK Broadband Co Ltd,37.4803,127.0302
106.112.194.160,2026-07-13T06:33:26.416791,auto,8,6,N/A,N/A,NO,N/A,China,Chinanet,38.036,114.47
1.234.27.159,2026-07-13T06:33:26.416797,auto,8,4,N/A,N/A,NO,N/A,South Korea,SK Broadband Co Ltd,37.4909,127.0452
116.110.221.201,2026-07-13T06:33:26.416802,auto,N/A,N/A,100,167,NO,N/A,Vietnam,Viettel Group,16.0685,108.2215
40.124.173.185,2026-07-13T06:33:26.416808,auto,N/A,N/A,100,1282,NO,N/A,United States,Microsoft Corporation,29.4167,-98.5
85.185.201.10,2026-07-13T06:33:26.416814,auto,8,3,N/A,N/A,NO,N/A,Iran,Iran Telecommunication Company PJS,38.2432,48.2976
154.205.134.214,2026-07-13T06:33:26.416820,auto,16,2,N/A,N/A,NO,N/A,Saudi Arabia,Kaopu Cloud HK Limited,24.6869,46.7224
185.242.3.226,2026-07-13T06:33:26.416826,auto,14,1,N/A,N/A,NO,N/A,Germany,Netiface Limited,50.1109,8.68213
91.92.47.96,2026-07-13T06:33:26.416831,auto,N/A,N/A,100,350,NO,N/A,United Kingdom,https://ip.me/static/geofeeds/-22.csv,51.5073,-0.1277
101.126.66.30,2026-07-13T06:33:26.416838,auto,12,4,N/A,N/A,NO,N/A,China,"Beijing Volcano Engine Technology Co., Ltd.",39.9042,116.407
1.187.75.8,2026-07-13T06:33:26.416845,auto,2,3,16,2,NO,1,India,Vodafone Idea Ltd.,26.9136,75.7858
101.227.79.195,2026-07-13T06:33:26.416851,auto,12,2,N/A,N/A,NO,N/A,China,China Telecom (Group),31.2222,121.4581
66.175.212.77,2026-07-13T06:33:26.416857,auto,2,2,100,2847,NO,N/A,United States,"Akamai Technologies, Inc.",40.8229,-74.4592
1.27.251.252,2026-07-13T06:33:26.416863,auto,14,3,N/A,N/A,NO,N/A,China,China Unicom Neimeng Province Network,42.2683,118.9636
102.220.160.154,2026-07-13T06:33:26.416869,auto,13,3,N/A,N/A,NO,N/A,Nigeria,ABINTERNET-V Ltd.,7.78267,4.54181
101.227.203.162,2026-07-13T06:33:26.416875,auto,11,3,N/A,N/A,NO,N/A,China,China Telecom (Group),31.2304,121.474
78.128.114.58,2026-07-13T06:33:26.416881,auto,N/A,N/A,100,11001,NO,N/A,Bulgaria,Tamatiya EOOD,42.6333,24.8
1.162.247.210,2026-07-13T06:33:26.416886,auto,N/A,N/A,N/A,N/A,NO,N/A,Taiwan,"Chunghwa Telecom Co., Ltd.",23.9807,121.6115
69.5.169.2,2026-07-13T06:33:26.416892,auto,N/A,N/A,100,3022,NO,N/A,Germany,Hydra Communications Ltd,50.1169,8.6837
101.127.101.225,2026-07-13T06:33:26.416898,auto,9,4,N/A,N/A,NO,N/A,Singapore,Starhub Internet Pte Ltd,1.43806,103.827
111.229.137.241,2026-07-13T06:33:26.416903,auto,7,4,N/A,N/A,NO,N/A,China,Shenzhen Tencent Computer Systems Company Limited,31.2222,121.4581
101.13.2.183,2026-07-13T06:33:26.416910,auto,8,6,N/A,N/A,NO,N/A,Taiwan,"Taiwan Mobile Co., Ltd.",25.0237,121.552
85.217.149.45,2026-07-13T06:33:26.416915,auto,N/A,N/A,100,4598,NO,N/A,Canada,Modat B.V.,45.3161,-73.8736
103.189.208.13,2026-07-13T06:33:26.416921,auto,N/A,N/A,100,5967,NO,N/A,Vietnam,Tedev Technological Development Company Limited,16.0439,108.244
101.126.55.67,2026-07-13T06:33:26.416927,auto,10,3,N/A,N/A,NO,N/A,China,GHSX,39.9904,116.386
1.85.42.195,2026-07-13T06:33:26.416933,auto,10,5,N/A,N/A,NO,N/A,China,Chinanet,34.2635,108.9246
101.126.89.57,2026-07-13T06:33:26.416938,auto,10,4,N/A,N/A,NO,N/A,China,"Beijing Volcano Engine Technology Co., Ltd.",39.9042,116.407
1.214.42.172,2026-07-13T06:33:26.416944,auto,11,4,N/A,N/A,NO,N/A,South Korea,LG DACOM Corporation,37.4873,126.9227
101.13.5.34,2026-07-13T06:33:26.416950,auto,9,4,N/A,N/A,NO,N/A,Taiwan,"Taiwan Mobile Co., Ltd.",25.0237,121.552
101.13.5.88,2026-07-13T06:33:26.416956,auto,N/A,N/A,N/A,N/A,NO,N/A,Taiwan,"Taiwan Mobile Co., Ltd.",25.0237,121.552
