IP,Blokkert_tid,Kilde,VT_Malicious,VT_Suspicious,AbuseIPDB_Score,AbuseIPDB_Reports,Land,ISP
101.13.5.50,2026-07-03T06:49:55.420789,auto,15,5,N/A,N/A,TW,Unknown
106.251.244.178,2026-07-03T06:49:55.420814,auto,6,7,N/A,N/A,KR,Unknown
1.20.228.110,2026-07-03T06:49:55.420823,auto,14,3,N/A,N/A,TH,Unknown
193.26.115.137,2026-07-03T06:49:55.420829,auto,4,3,N/A,N/A,US,Unknown
101.126.17.72,2026-07-03T06:49:55.420836,auto,15,4,N/A,N/A,CN,Unknown
66.155.223.226,2026-07-03T06:49:55.420843,auto,6,2,N/A,N/A,US,Unknown
101.126.54.95,2026-07-03T06:49:55.420863,auto,9,5,N/A,N/A,CN,Unknown
20.255.61.0,2026-07-03T06:49:55.420868,auto,4,2,N/A,N/A,HK,Unknown
101.227.79.195,2026-07-03T06:49:55.420892,auto,11,2,N/A,N/A,CN,Unknown
85.217.149.58,2026-07-03T06:49:55.420899,auto,10,3,N/A,N/A,CA,Unknown
101.126.11.137,2026-07-03T06:49:55.420906,auto,10,4,N/A,N/A,CN,Unknown
1.83.125.204,2026-07-03T06:49:55.420913,auto,5,6,N/A,N/A,CN,Unknown
101.13.4.128,2026-07-03T06:49:55.420919,auto,14,4,N/A,N/A,TW,Unknown
45.82.76.104,2026-07-03T06:49:55.420925,auto,7,4,N/A,N/A,DE,Unknown
47.84.204.63,2026-07-03T06:49:55.420930,auto,9,4,N/A,N/A,SG,Unknown
1.222.42.237,2026-07-03T06:49:55.420935,auto,10,4,N/A,N/A,KR,Unknown
154.64.241.188,2026-07-03T06:49:55.420954,auto,2,2,100,69,US,"PSINet, Inc."
1.214.214.114,2026-07-03T06:49:55.420963,auto,12,5,N/A,N/A,KR,Unknown
148.170.129.144,2026-07-03T06:49:55.420969,auto,11,2,N/A,N/A,CA,Unknown
152.32.233.2,2026-07-03T06:49:55.420975,auto,6,6,N/A,N/A,US,Unknown
101.132.144.220,2026-07-03T06:49:55.420980,auto,6,4,N/A,N/A,CN,Unknown
60.53.155.135,2026-07-03T06:49:55.421004,auto,2,3,100,62,MY,TMNST
47.89.187.129,2026-07-03T06:49:55.421010,auto,3,3,N/A,N/A,US,Unknown
139.59.146.150,2026-07-03T06:49:55.421016,auto,9,3,N/A,N/A,DE,Unknown
165.232.143.119,2026-07-03T06:49:55.421020,auto,6,2,N/A,N/A,US,Unknown
101.32.145.199,2026-07-03T06:49:55.421026,auto,8,5,N/A,N/A,SG,Unknown
177.76.134.52,2026-07-03T06:49:55.421031,auto,9,2,N/A,N/A,BR,Unknown
101.126.89.0,2026-07-03T06:49:55.421036,auto,10,5,N/A,N/A,CN,Unknown
101.24.126.14,2026-07-03T06:49:55.421041,auto,4,3,N/A,N/A,CN,Unknown
