IP,Blocked_Time,Source,VT_Malicious,VT_Suspicious,AbuseIPDB_Score,AbuseIPDB_Reports,GreyNoise_Noise,AlienVault_Pulses,Country,ISP,Lat,Lon
103.234.62.74,2026-07-14T09:00:14.166791,auto,N/A,N/A,100,1362,NO,N/A,Hong Kong,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,22.3358,114.149
47.254.173.90,2026-07-14T09:00:14.166808,auto,N/A,N/A,100,663,NO,N/A,Germany,Alibaba Cloud LLC,50.1138,8.6521
1.234.20.61,2026-07-14T09:00:14.166816,auto,10,3,N/A,N/A,NO,N/A,South Korea,SK Broadband Co Ltd,37.4909,127.0452
45.156.129.90,2026-07-14T09:00:14.166824,auto,4,2,N/A,N/A,NO,N/A,United States,"NSEC - Sistemas Informaticos, S.A.",41.8781,-87.6298
58.30.60.250,2026-07-14T09:00:14.166831,auto,11,4,N/A,N/A,NO,N/A,China,Beijing Gehua Catv Network CO,39.9042,116.407
1.0.164.165,2026-07-14T09:00:14.166838,auto,12,3,N/A,N/A,NO,N/A,Thailand,TOT Public Company Limited,7.9166,98.3494
101.126.145.214,2026-07-14T09:00:14.166844,auto,9,6,N/A,N/A,NO,N/A,China,"Beijing Volcano Engine Technology Co., Ltd.",39.9794,116.338
101.206.211.72,2026-07-14T09:00:14.166851,auto,17,4,N/A,N/A,NO,N/A,China,China Unicom Sichuan Province Network,30.5723,104.067
101.126.55.63,2026-07-14T09:00:14.166858,auto,10,5,N/A,N/A,NO,N/A,China,GHSX,39.9904,116.386
14.103.123.206,2026-07-14T09:00:14.166864,auto,10,4,N/A,N/A,NO,N/A,China,BITNET,39.9042,116.407
101.227.79.195,2026-07-14T09:00:14.166870,auto,12,2,N/A,N/A,NO,N/A,China,China Telecom (Group),31.2222,121.4581
103.25.47.94,2026-07-14T09:00:14.166876,auto,10,4,N/A,N/A,NO,N/A,India,Rainbow communications India Pvt Ltd,11.6602,78.1532
216.244.66.228,2026-07-14T09:00:14.166883,auto,4,2,N/A,N/A,NO,N/A,United States,Wowrack.com,47.4932,-122.294
89.39.121.98,2026-07-14T09:00:14.166889,auto,N/A,N/A,100,219,NO,N/A,Germany,Play2go International Limited,50.1169,8.6837
101.109.255.242,2026-07-14T09:00:14.166896,auto,7,6,100,140,NO,N/A,Thailand,TOT Public Company Limited,13.7101,100.4543
1.237.155.150,2026-07-14T09:00:14.166903,auto,7,4,N/A,N/A,NO,N/A,South Korea,SK Broadband Co Ltd,37.4331,127.1377
103.208.219.38,2026-07-14T09:00:14.166910,auto,N/A,N/A,100,1559,NO,N/A,Australia,Hostopia Australia Web Pty Ltd,-33.8883,151.208
101.13.6.86,2026-07-14T09:00:14.166917,auto,10,4,N/A,N/A,NO,N/A,Taiwan,"Taiwan Mobile Co., Ltd.",25.0237,121.552
211.221.2.119,2026-07-14T09:00:14.166923,auto,N/A,N/A,100,317,NO,N/A,South Korea,Korea Telecom,35.1513,129.1203
101.37.233.76,2026-07-14T09:00:14.166929,auto,4,2,N/A,N/A,NO,N/A,China,Hangzhou Alibaba Advertising Co,30.2943,120.1663
65.49.20.99,2026-07-14T09:00:14.166935,auto,N/A,N/A,100,2040,NO,N/A,United States,Hurricane Electric LLC,37.6951,-121.9
64.62.197.105,2026-07-14T09:00:14.166942,auto,N/A,N/A,100,1780,NO,N/A,United States,Hurricane Electric LLC,37.6951,-121.9
139.59.146.150,2026-07-14T09:00:14.166949,auto,9,3,100,1930,NO,N/A,Germany,DIGITALOCEAN,50.1169,8.6837
165.154.147.69,2026-07-14T09:00:14.166955,auto,N/A,N/A,100,4002,NO,N/A,Malaysia,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,3.1408,101.6852
101.36.111.155,2026-07-14T09:00:14.166962,auto,16,3,100,2125,NO,N/A,Hong Kong,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,22.3193,114.169
189.50.142.82,2026-07-14T09:00:14.166969,auto,N/A,N/A,100,4173,NO,N/A,Brazil,IFTNET Telecomunicacoes Ltda,-21.9582,-51.3181
1.20.163.134,2026-07-14T09:00:14.166976,auto,3,2,N/A,N/A,NO,N/A,Thailand,TOT Public Company Limited,13.0508,100.9367
